,spc_common,tree_dbh,stump_diam,status,health,problems,problems,root_stone,root_grate,root_other,nta,latitude,longitude
218892,Scots pine,14,0,Alive,Fair,None,None,No,No,No,BK50,40.64357608,-73.89770394
220014,white pine,28,0,Alive,Fair,Stones,Stones,Yes,No,No,QN45,40.77082519,-73.742794
221571,pine,5,0,Alive,Good,None,None,No,No,No,QN15,40.59511888,-73.75148742
222293,Scots pine,20,0,Alive,Good,None,None,No,No,No,QN17,40.71503276,-73.84505159
222723,pitch pine,9,0,Alive,Good,RootOther,RootOther,No,No,Yes,BK58,40.62742725,-73.94082625
226676,pine,3,0,Alive,Good,None,None,No,No,No,BK88,40.63178209,-73.99118816
227428,pine,7,0,Alive,Good,None,None,No,No,No,BK88,40.63977594,-73.98726939
231518,pine,2,0,Alive,Good,None,None,No,No,No,QN10,40.56927973,-73.86429313
232234,Virginia pine,4,0,Alive,Good,None,None,No,No,No,BK82,40.67698217,-73.89919191
233372,pine,28,0,Alive,Good,None,None,No,No,No,QN45,40.77035481,-73.73993551
235295,pine,9,0,Alive,Good,None,None,No,No,No,QN03,40.66478408,-73.77469872
235690,red pine,21,0,Alive,Good,RootOther,RootOther,No,No,Yes,QN42,40.75409091,-73.75115704
235861,Scots pine,20,0,Alive,Good,Stones,Stones,Yes,No,No,QN17,40.73228299,-73.8440579
236756,red pine,7,0,Alive,Good,None,None,No,No,No,QN51,40.7598175,-73.79412871
237177,pine,1,0,Alive,Good,None,None,No,No,No,QN37,40.71812905,-73.80919056
239053,red pine,4,0,Alive,Good,None,None,No,No,No,BX49,40.8525886,-73.86117253
240808,white pine,3,0,Alive,Good,None,None,No,No,No,QN62,40.7459701,-73.82930656
240911,white pine,5,0,Alive,Good,None,None,No,No,No,QN66,40.68221818,-73.73338777
241377,white pine,7,0,Alive,Good,None,None,No,No,No,SI32,40.54737878,-74.19971483
246278,pine,17,0,Alive,Good,None,None,No,No,No,BK83,40.67969661,-73.89309573
246398,pine,6,0,Alive,Good,None,None,No,No,No,QN55,40.66699752,-73.8059992
247242,white pine,5,0,Alive,Good,None,None,No,No,No,QN37,40.73308357,-73.8230602
248733,pine,18,0,Alive,Fair,None,None,No,No,No,BX62,40.8904872,-73.84380365
249468,pine,25,0,Alive,Good,TrunkOther,TrunkOther,No,No,No,BX09,40.82357437,-73.87113054
250033,white pine,2,0,Alive,Good,None,None,No,No,No,SI54,40.55126005,-74.14402739
252608,pine,17,0,Alive,Good,None,None,No,No,No,QN37,40.72175419,-73.80804787
253459,pine,8,0,Alive,Good,Stones,Stones,Yes,No,No,QN30,40.73195607,-73.88991868
254350,pine,3,0,Alive,Good,None,None,No,No,No,SI07,40.61146047,-74.13675302
255439,white pine,7,0,Alive,Good,WiresRopeTrunkOther,WiresRopeTrunkOther,No,No,No,QN23,40.79249102,-73.84249414
257594,white pine,18,0,Alive,Good,RootOtherBranchLights,RootOtherBranchLights,No,No,Yes,QN52,40.75107742,-73.80424425
258171,red pine,4,0,Alive,Good,None,None,No,No,No,SI11,40.50341033,-74.24821914
260746,white pine,9,0,Alive,Good,None,None,No,No,No,SI54,40.54913174,-74.14525287
260927,pitch pine,4,0,Alive,Good,Stones,Stones,Yes,No,No,QN71,40.77356092,-73.92313894
261008,white pine,10,0,Alive,Good,None,None,No,No,No,SI48,40.55139273,-74.19879319
261838,pine,7,0,Alive,Good,BranchLights,BranchLights,No,No,No,QN53,40.69786431,-73.85114741
262590,pine,10,0,Alive,Good,None,None,No,No,No,QN55,40.66700795,-73.80627354
262656,white pine,6,0,Alive,Good,None,None,No,No,No,BK83,40.67927633,-73.8989749
264251,pine,9,0,Alive,Good,None,None,No,No,No,QN72,40.77021383,-73.88873468
265588,black pine,4,0,Alive,Fair,BranchOther,BranchOther,No,No,No,QN23,40.76946987,-73.84237319
266688,pitch pine,4,0,Alive,Good,None,None,No,No,No,QN46,40.77014373,-73.7641991
267891,white pine,14,0,Alive,Good,None,None,No,No,No,SI25,40.56444833,-74.13073796
268033,white pine,6,0,Alive,Good,RootOther,RootOther,No,No,Yes,BK88,40.63246726,-73.99824096
269206,white pine,17,0,Alive,Fair,None,None,No,No,No,QN17,40.73542333,-73.85597081
270378,black pine,5,0,Alive,Good,None,None,No,No,No,MN03,40.81241901,-73.95071392
273986,white pine,0,0,Alive,Good,None,None,No,No,No,SI48,40.55026956,-74.19176619
274150,pine,10,0,Alive,Good,None,None,No,No,No,BK19,40.57479988,-73.95339142
274512,red pine,5,0,Alive,Good,Stones,Stones,Yes,No,No,BX01,40.83907723,-73.90040572
274892,pine,4,0,Alive,Good,None,None,No,No,No,QN45,40.75958488,-73.72043327
276248,white pine,4,0,Alive,Good,None,None,No,No,No,QN37,40.73308433,-73.82297541
277503,red pine,7,0,Alive,Good,None,None,No,No,No,QN52,40.75663993,-73.8138391
279156,pine,11,0,Alive,Good,None,None,No,No,No,QN55,40.66413821,-73.81687486
280387,Scots pine,15,0,Alive,Good,None,None,No,No,No,BX49,40.85668886,-73.86201604
280479,red pine,26,0,Alive,Good,Stones,Stones,Yes,No,No,QN45,40.77172774,-73.74241021
281893,white pine,5,0,Alive,Fair,None,None,No,No,No,BK58,40.62762824,-73.94121895
282688,pitch pine,4,0,Alive,Good,None,None,No,No,No,MN14,40.77507302,-73.98436444
282732,pine,4,0,Alive,Good,None,None,No,No,No,QN55,40.66701515,-73.80646291
285113,red pine,5,0,Alive,Good,None,None,No,No,No,MN04,40.82832299,-73.94226278
